fungsi;iterasi;populasi;numVar;selectionSize;multipicationFactor;hypermutationRate
f1;100;10;5;1;0.1;0.1
f1;100;10;5;1;0.1;0.5
f1;100;10;5;1;0.5;0.1
f1;100;10;5;1;0.5;0.5
f1;100;10;5;5;0.1;0.1
f1;100;10;5;5;0.1;0.5
f1;100;10;5;5;0.5;0.1
f1;100;10;5;5;0.5;0.5
f1;100;50;5;10;0.1;0.1
f1;100;50;5;10;0.1;0.5
f1;100;50;5;10;0.5;0.1
f1;100;50;5;10;0.5;0.5
f1;100;50;5;25;0.1;0.1
f1;100;50;5;25;0.1;0.5
f1;100;50;5;25;0.5;0.1
f1;100;50;5;25;0.5;0.5
f1;100;100;5;20;0.1;0.1
f1;100;100;5;20;0.1;0.5
f1;100;100;5;20;0.5;0.1
f1;100;100;5;20;0.5;0.5
f1;100;100;5;50;0.1;0.1
f1;100;100;5;50;0.1;0.5
f1;100;100;5;50;0.5;0.1
f1;100;100;5;50;0.5;0.5
f1;500;10;5;1;0.1;0.1
f1;500;10;5;1;0.1;0.5
f1;500;10;5;1;0.5;0.1
f1;500;10;5;1;0.5;0.5
f1;500;10;5;5;0.1;0.1
f1;500;10;5;5;0.1;0.5
f1;500;10;5;5;0.5;0.1
f1;500;10;5;5;0.5;0.5
f1;500;50;5;10;0.1;0.1
f1;500;50;5;10;0.1;0.5
f1;500;50;5;10;0.5;0.1
f1;500;50;5;10;0.5;0.5
f1;500;50;5;25;0.1;0.1
f1;500;50;5;25;0.1;0.5
f1;500;50;5;25;0.5;0.1
f1;500;50;5;25;0.5;0.5
f1;500;100;5;20;0.1;0.1
f1;500;100;5;20;0.1;0.5
f1;500;100;5;20;0.5;0.1
f1;500;100;5;20;0.5;0.5
f1;500;100;5;50;0.1;0.1
f1;500;100;5;50;0.1;0.5
f1;500;100;5;50;0.5;0.1
f1;500;100;5;50;0.5;0.5
f1;500;200;5;100;0.1;0.1
f1;500;200;5;100;0.1;0.5
f1;500;200;5;100;0.5;0.1
f1;500;200;5;100;0.5;0.5
f1;100;10;10;1;0.1;0.1
f1;100;10;10;1;0.1;0.5
f1;100;10;10;1;0.5;0.1
f1;100;10;10;1;0.5;0.5
f1;100;10;10;5;0.1;0.1
f1;100;10;10;5;0.1;0.5
f1;100;10;10;5;0.5;0.1
f1;100;10;10;5;0.5;0.5
f1;100;50;10;10;0.1;0.1
f1;100;50;10;10;0.1;0.5
f1;100;50;10;10;0.5;0.1
f1;100;50;10;10;0.5;0.5
f1;100;50;10;25;0.1;0.1
f1;100;50;10;25;0.1;0.5
f1;100;50;10;25;0.5;0.1
f1;100;50;10;25;0.5;0.5
f1;100;100;10;20;0.1;0.1
f1;100;100;10;20;0.1;0.5
f1;100;100;10;20;0.5;0.1
f1;100;100;10;20;0.5;0.5
f1;100;100;10;50;0.1;0.1
f1;100;100;10;50;0.1;0.5
f1;100;100;10;50;0.5;0.1
f1;100;100;10;50;0.5;0.5
f1;500;10;10;1;0.1;0.1
f1;500;10;10;1;0.1;0.5
f1;500;10;10;1;0.5;0.1
f1;500;10;10;1;0.5;0.5
f1;500;10;10;5;0.1;0.1
f1;500;10;10;5;0.1;0.5
f1;500;10;10;5;0.5;0.1
f1;500;10;10;5;0.5;0.5
f1;500;50;10;10;0.1;0.1
f1;500;50;10;10;0.1;0.5
f1;500;50;10;10;0.5;0.1
f1;500;50;10;10;0.5;0.5
f1;500;50;10;25;0.1;0.1
f1;500;50;10;25;0.1;0.5
f1;500;50;10;25;0.5;0.1
f1;500;50;10;25;0.5;0.5
f1;500;100;10;20;0.1;0.1
f1;500;100;10;20;0.1;0.5
f1;500;100;10;20;0.5;0.1
f1;500;100;10;20;0.5;0.5
f1;500;100;10;50;0.1;0.1
f1;500;100;10;50;0.1;0.5
f1;500;100;10;50;0.5;0.1
f1;500;100;10;50;0.5;0.5
f1;500;200;10;100;0.1;0.1
f1;500;200;10;100;0.1;0.5
f1;500;200;10;100;0.5;0.1
f1;500;200;10;100;0.5;0.5
